route,route_type,classification,status_code,governing_feature,source_file,notes
"/","HOMEPAGE","PUBLIC-PUBLISHED",200,"Homepage","app/page.tsx","Verified"
"/stories","ARCHIVE","PUBLIC-PUBLISHED",200,"Stories Archive","app/stories/page.tsx","Verified"
"/topics","DIRECTORY","PUBLIC-PUBLISHED",200,"Topic Directory","app/topics/page.tsx","Verified"
"/investigations","HUB","PUBLIC-PUBLISHED",200,"Investigations Hub","app/investigations/page.tsx","Verified"
"/about","EDITORIAL","PUBLIC-PUBLISHED",200,"About Institution","app/about/page.tsx","Verified"
"/trust","EDITORIAL","PUBLIC-PUBLISHED",200,"Trust & Standards","app/trust/page.tsx","Verified"
"/fix","SOLUTIONS","PUBLIC-PUBLISHED",200,"The Fix Hub","app/fix/page.tsx","Verified"
"/series","COLLECTIONS","PUBLIC-PUBLISHED",200,"Knowledge Series","app/series/page.tsx","Verified"
"/newsletter","ENGAGEMENT","PUBLIC-PUBLISHED",200,"The Brief Newsletter","app/newsletter/page.tsx","Verified"
"/search","SEARCH","PUBLIC-PUBLISHED",200,"Search Engine","app/search/page.tsx","Verified"
"/transparency/corrections","TRANSPARENCY","PUBLIC-PUBLISHED",200,"Editorial Corrections","app/transparency/corrections/page.tsx","Verified"
"/methodology","EDITORIAL","PUBLIC-PUBLISHED",200,"Research Methodology","app/methodology/page.tsx","Verified"
"/trackers","DATA","PUBLIC-PUBLISHED",200,"Live Trackers","app/trackers/page.tsx","Verified"
"/data","DATA","PUBLIC-PUBLISHED",200,"Datasets & Evidence","app/data/page.tsx","Verified"
"/story/mgnrega-reform","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/digital-payments-boom","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/pm-fasal-bima-claims","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/semiconductor-pli","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/dpdp-bill","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/rbi-repo-rate","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/climate-finance","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/education-budget","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/groundwater-depletion","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/ration-digitization","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/anganwadi-icds","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/supply-chain-shift","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/ethanol-backlash","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/ews-quota-upsc-investigation","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/us-iran-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/indian-education-crisis","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/income-inequality-india","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-china-border-tensions","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/indias-foreign-policy","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/satluj-ban","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-us-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-indonesia-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-china-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-europe-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-uk-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-russia-relations","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/81-crore-data-breach","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/bjp-mission-360","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-5g-rollout","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-ev-paradox","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/ayushman-bharat","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/electoral-bonds","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/who-cancer-report-2026","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/us-iran-war-strait-of-hormuz","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/epf-scheme-2026","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/youth-mental-health-crisis","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/gig-worker-rights","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/namami-gange-under-fire","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/india-china-border-lac","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/story/kashmir-the-first-test","STORY","PUBLIC-PUBLISHED",200,"Story Reader","app/story/[slug]/page.tsx","Verified"
"/topic/economy","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/technology","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/cybersecurity","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/policy","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/agriculture","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
